rownames.localDgxTable..whichVec.	Score
ABCB1	-2.70876770804197
ACAT2	3.36683890496275
ACOT7	4.91118927530875
ACTR8	-2.57939654997894
ADAL	4.60496699956938
ADAMTS17	6.02879610402253
AES	2.19587284797536
AGAP1	-3.0538240926339
AGFG1	-5.65424083714405
AK5	2.86170924249549
AKAP8	-5.57758644457771
ALDH1B1	4.01835290208514
ALKBH7	4.45245689469985
ANK1	4.25290367156692
ANKH	-3.24882025233398
ANKRD12	-10.6494202906655
ANXA6	2.89152581773949
AP4S1	-4.1734121512811
AREG	-3.16692909321599
ARPIN	2.9198829249568
ASPM	2.99923407702528
ASXL2	-2.69931949305796
ATAD5	2.54620107959289
ATL1	3.94242170733852
ATM	-2.64785223095941
AUNIP	3.19872568008148
B4GALNT1	2.59410111912588
BACE2	2.68684964008141
BAG2	2.90766575957304
BANK1	2.28574194298475
BCL7B	-4.35641152352292
BIK	3.5332761870687
BIRC5	3.17287974944129
BIVM	2.32445785362345
BLM	2.75338191060575
BMP2	-3.66076843334573
C12orf43	-2.45538811644454
C14orf80	4.09522225322909
C1orf159	-3.22920583405389
C1orf27	-2.76404093685584
C1orf56	-5.12253279018406
C2orf49	-3.78827281997705
C7orf50	2.55818696662568
C9orf85	-2.84856771327419
CA3	3.98719389998254
CAMSAP2	-3.35547163077837
CAPN10	-2.65418458390871
CBLL1	-3.69187843649786
CCDC12	2.46270442835118
CCDC14	3.22561425728943
CCDC69	5.35500023503606
CCDC71L	-2.45924123257105
CCDC84	-4.41184485060167
CCND3	4.70094807670029
CCNDBP1	-2.92492340579427
CCNE1	2.5189072406409
CCNG1	2.22421352972455
CCP110	2.20151535805708
CD180	4.347836266325
CD19	3.49423214849356
CD74	3.33846426744106
CD79B	2.35353818821394
CDC20	3.80302893379693
CDC25B	3.79096108538409
CDCA8	3.9135840777164
CDK2	2.82743605378151
CENPC	3.07730700046855
CENPJ	2.98389400029127
CENPN	2.4869432740819
CENPQ	3.56262073462522
CEP152	2.59548096856058
CERK	3.20638067860902
CES2	-2.732798388555
CFAP97	-4.70240710400843
CHAF1A	2.42753650965007
CHD7	-6.40614330508038
CHFR	-4.61294967454881
CHIC2	-3.2838929063421
CHMP7	-2.89418143242199
CHN2	2.52607536151506
CIDEB	3.48147692912692
CLASP1	-2.86984275015896
CLN5	-4.75563361968402
CNIH4	-2.68458428555797
CNOT8	3.67180470815881
CNPY4	6.04213960428506
COL15A1	3.29291173365795
COL23A1	-6.56404602799536
COL4A1	3.36220123044145
COQ10B	-4.60789978435192
COQ3	2.46948952039324
CRABP1	4.01978375231518
CREB3L2	2.4273044243575
CREBBP	-6.76500939854288
CRKL	-3.07221494663016
CRYBG3	-3.39054388495346
CSNK1A1L	-2.74288653060625
CSNK2A2	-5.60688612549139
CTSK	5.60244155069573
CYP20A1	-2.74304696756447
DCP2	3.30032917143441
DDIAS	2.5380579248046
DDX19A	-2.45197847614593
DEAF1	-6.70335003022725
DENND3	-5.39951110734636
DENND4A	5.50948617200649
DEPDC1B	4.11162298547518
DHCR7	6.77223575702371
DHDH	-2.48489822967301
DHX34	-3.79358294857261
DIS3L	3.25465483890806
DLG1	2.37723255384296
DLGAP4	-3.30437657535094
DMWD	-4.70988800726845
DNAL1	-5.16424884174361
DOCK11	2.27339940284761
DOCK5	-2.72889717778826
DOK2	2.30600855527659
DSC2	9.05600759912753
DSN1	2.63979431979127
DUS3L	-4.20330986315074
DVL1	-2.60816372260124
DYSF	2.41079331240708
