logFC	P.Value
SH3PXD2A-AS1	-0.00108646927235867	0.955544034612921
UST	-0.0299925874559914	0.024199583149602
KIF20A	0.0166428029771413	0.411338658568898
PDZK1IP1	0.0366630174270726	0.0050053687675004
MPZL2	-0.0189129565911696	0.208987705446462
CDKN3	0.0599958028964505	0.00485462032925512
NDC80	0.059692533807588	0.000817331182871846
PGRMC2	0.010809374772125	0.0926908002408407
IFI44	-0.0298293757343795	0.179033671768631
CXCL13	0.00623882293318756	0.837913781734021
TACC2	0.0167863727667585	0.0124454338642573
POLR3G	0.0398895177510519	0.00507910224235698
RAI2	-0.0365228875446797	0.0398108888544232
ZNF273	0.0214694253635086	0.354480022761436
CCL27	0.0255113910763733	0.349275894940616
HPSE	0.0444243251602852	0.00968515815321776
TPPP	0.0138077018424516	0.447769744558056
PTPN21	0.0370614165487639	0.00842958210134699
CHI3L2	-0.0255672906630644	0.389705135243145
WIF1	-0.0436725528162096	0.287801521721082
TREX2	0.0384222617089898	0.0401595927678169
GALNT6	0.0529212063027198	0.001178398870489
SLC6A14	-0.0039274894874235	0.889330045719816
KLF8	0.0341923649837454	0.000974086005969117
AHNAK2	0.035568026259126	7.26472238418071e-05
SLC26A9	0.0199376771807813	0.305323042497422
LRG1	-0.00678854887876668	0.743383473029511
TMEM45B	0.0540620648787131	7.96532326461039e-05
CCR7	0.0317087280914903	0.0521924091540649
CMPK2	-0.0265825326141287	0.220010651988996
LYPD6B	0.0442571338483528	0.0010085452600971
CLDN23	0.0276689364314837	0.17823160871686
MACROD2	-0.0380170049256914	0.0394884375127809
UBE2F	-0.00124692261612047	0.876438462839862
CRY2	-0.00527753662714314	0.591036554295504
CRYAB	0.00152581775656779	0.895305893908909
A2ML1	0.0361341776804722	0.0549686289456948
SERPINA12	0.0354365865638173	0.161500178405781
TMEM99	0.0587440628688811	2.90234759140602e-05
CST6	-0.00450198304694149	0.734948242915878
IGFL2	0.0308578166049296	0.154082192375951
BTNL9	-0.00430290934312438	0.863564756275284
ADRB2	-0.032665023145531	0.0685353364411463
CYP2J2	-0.00526091036271259	0.777029699185582
USP54	-0.00315772579849138	0.709731544796384
ANKFN1	0.0628356862647137	0.00017673393728255
DMD	0.00648198980085102	0.555247619168143
DSC2	0.00959796518824074	0.537817250258515
TYMP	-0.044746576236911	0.0223593265385044
EFNB2	-0.0018210598264905	0.894384269538106
APOBEC3A	0.0163992855308526	0.595444430080222
EMX2	-0.000521922621563142	0.980106348798402
F3	0.0239002884789694	0.177628282279543
OTUD1	-0.00165793331999442	0.828130979236914
MTURN	0.0474114001507786	0.000169771391319762
ALDH3A2	0.0114588856566513	0.102271397826763
LAMB4	0.0565655586391474	0.000144011465588678
ZNF652	0.0238948942605877	0.0531007242190369
RHOBTB3	-0.0205523048577971	0.0966335849402755
TTC39A	0.0486352006943727	0.0094154227286428
PDZD2	0.0344294858882552	0.000807331244271897
